Title,Authors,Journal,ISSN,Year,Published,E-published,Volume,Issue,Pages,DOI,PMID,Labels,Qualifiers,IUID,URL,DOI URL,PubMed URL,QC
Increased burden of ultra-rare structural variants localizing to boundaries of topologically associated domains in schizophrenia,"Halvorsen M, Huh R, Oskolkov N, Wen J, Netotea S, Giusti-Rodriguez P, Karlsson R, Bryois J, Nystedt B, Ameur A, Kähler AK, Ancalade N, Farrell M, Crowley JJ, Li Y, Magnusson PKE, Gyllensten U, Hultman CM, Sullivan PF, Szatkiewicz JP",Nat Commun,2041-1723,2020,2020-12-00,2020-04-15,11,1,,10.1038/s41467-020-15707-w,32296054,"Bioinformatics Long-term Support WABI, Bioinformatics Support, Infrastructure and Training, NGI Uppsala (SNP&SEQ Technology Platform), NGI Uppsala (Uppsala Genome Center), National Genomics Infrastructure","Collaborative, Collaborative, Service, Collaborative, Service",0501e4e6d44c4a8c947ef756d0262288,https://publications.scilifelab.se/publication/0501e4e6d44c4a8c947ef756d0262288,https://doi.org/10.1038/s41467-020-15707-w,https://www.ncbi.nlm.nih.gov/pubmed/32296054,
DNA methylation changes in Down syndrome derived neural iPSCs uncover co-dysregulation of ZNF and HOX3 families of transcription factors,"Laan L, Klar J, Sobol M, Hoeber J, Shahsavani M, Kele M, Fatima A, Zakaria M, Annerén G, Falk A, Schuster J, Dahl N",Clin Epigenetics,1868-7075,2020,2020-12-00,2020-01-08,12,1,,10.1186/s13148-019-0803-1,,"Bioinformatics Long-term Support WABI, Bioinformatics Support, Infrastructure and Training","Service, Service",0f09c0d1a201493ab421f3fba0888a2f,https://publications.scilifelab.se/publication/0f09c0d1a201493ab421f3fba0888a2f,https://doi.org/10.1186/s13148-019-0803-1,,
An efficient single-cell transcriptomics workflow for microbial eukaryotes benchmarked on Giardia intestinalis cells,"Onsbring H, Tice AK, Barton BT, Brown MW, Ettema TJG",BMC Genomics,1471-2164,2020,2020-12-00,2020-06-29,21,1,,10.1186/s12864-020-06858-7,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",194d913bd2654246bcdf9732ca06b6e2,https://publications.scilifelab.se/publication/194d913bd2654246bcdf9732ca06b6e2,https://doi.org/10.1186/s12864-020-06858-7,,
Transitions in wheat endosperm metabolism upon transcriptional induction of oil accumulation by oat endosperm WRINKLED1,"Grimberg Å, Wilkinson M, Snell P, De Vos RP, González-Thuillier I, Tawfike A, Ward JL, Carlsson AS, Shewry P, Hofvander P",BMC Plant Biol.,1471-2229,2020,2020-12-00,2020-05-25,20,1,,10.1186/s12870-020-02438-9,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",24c1864eab62411f9d39198e02fc37de,https://publications.scilifelab.se/publication/24c1864eab62411f9d39198e02fc37de,https://doi.org/10.1186/s12870-020-02438-9,,
The regulation and pharmacological modulation of immune complex induced type III IFN production by plasmacytoid dendritic cells,"Hjorton K, Hagberg N, Pucholt P, Eloranta ML, Rönnblom L",Arthritis Res. Ther.,1478-6362,2020,2020-12-00,2020-06-05,22,1,,10.1186/s13075-020-02186-z,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",2dadaa51e19d416ba463c2fc9ac561b3,https://publications.scilifelab.se/publication/2dadaa51e19d416ba463c2fc9ac561b3,https://doi.org/10.1186/s13075-020-02186-z,,
Antimicrobial peptide and sequence variation along a latitudinal gradient in two anurans,"Cortázar-Chinarro M, Meyer-Lucht Y, Van der Valk T, Richter-Boix A, Laurila A, Höglund J",BMC Genet.,1471-2156,2020,2020-12-00,2020-03-30,21,1,,10.1186/s12863-020-00839-1,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",3d27ad2c075348029d3f5ac0be8dd349,https://publications.scilifelab.se/publication/3d27ad2c075348029d3f5ac0be8dd349,https://doi.org/10.1186/s12863-020-00839-1,,
Whole genome sequencing of familial isolated oesophagus atresia uncover shared structural variants,"Klar J, Engstrand-Lilja H, Maqbool K, Mattisson J, Feuk L, Dahl N",BMC Med Genomics,1755-8794,2020,2020-12-00,2020-06-26,13,1,,10.1186/s12920-020-00737-6,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",3f9436baa42849ed95e219bbf949416e,https://publications.scilifelab.se/publication/3f9436baa42849ed95e219bbf949416e,https://doi.org/10.1186/s12920-020-00737-6,,
Discovery of a novel integron-borne aminoglycoside resistance gene present in clinical pathogens by screening environmental bacterial communities,"Böhm ME, Razavi M, Marathe NP, Flach CF, Larsson DGJ",Microbiome,2049-2618,2020,2020-12-00,2020-03-20,8,1,,10.1186/s40168-020-00814-z,,"NGI Uppsala (Uppsala Genome Center), National Genomics Infrastructure","Service, Service",406ca37ce27b4a10ac02f2696067f818,https://publications.scilifelab.se/publication/406ca37ce27b4a10ac02f2696067f818,https://doi.org/10.1186/s40168-020-00814-z,,
Integrative genomics approach identifies molecular features associated with early-stage ovarian carcinoma histotypes,"Engqvist H, Parris TZ, Biermann J, Rönnerman EW, Larsson P, Sundfeldt K, Kovács A, Karlsson P, Helou K",Sci Rep,2045-2322,2020,2020-12-00,2020-05-14,10,1,,10.1038/s41598-020-64794-8,,"NGI Uppsala (SNP&SEQ Technology Platform), National Genomics Infrastructure","Service, Service",5740889604b145baac1f446821f3da8d,https://publications.scilifelab.se/publication/5740889604b145baac1f446821f3da8d,https://doi.org/10.1038/s41598-020-64794-8,,
Spatio-molecular domains identified in the mouse subthalamic nucleus and neighboring glutamatergic and GABAergic brain structures,"Wallén-Mackenzie Å, Dumas S, Papathanou M, Martis Thiele MM, Vlcek B, König N, Björklund ÅK",Commun Biol,2399-3642,2020,2020-12-00,2020-07-03,3,1,,10.1038/s42003-020-1028-8,,"Bioinformatics Long-term Support WABI, Bioinformatics Support and Infrastructure, Bioinformatics Support, Infrastructure and Training","Collaborative, Collaborative, Collaborative",5d10760287d3464a96f10a51a55e9a7c,https://publications.scilifelab.se/publication/5d10760287d3464a96f10a51a55e9a7c,https://doi.org/10.1038/s42003-020-1028-8,,
